filename,aspect_ratio,size,prompt
Muscat-BG-1.png,16:9,2560x1440,"Aerial photograph of Muscat, Oman coastline at blue hour — the moment just after sunset when the sky is deep navy-black. Muttrah Corniche or Sultan Qaboos Port visible in the distance. Long exposure light trails from highway traffic creating warm amber streaks against the dark landscape. Mountains silhouetted against the twilight sky. Minimal city lights, mostly dark. Shot from an elevated hillside vantage point. Color grading: deep shadows, desaturated blues, warm amber highlights only from the road lights. Cinematic, wide-angle, high resolution. No text, no overlays. Photorealistic editorial photography style. 2560x1440 landscape."
About-section.png,16:9,1920x1080,"Close-up abstract photograph of traditional Omani carved plaster geometric patterns (known as juss) — shot in dramatic side lighting on a dark background. The intricate Islamic geometric lattice pattern creates depth through light and shadow. Warm sand-colored stone surface against near-black shadows. Shallow depth of field so edges go soft. No color, almost monochrome with slight warm tone. Architectural detail photography style. No text, no digital effects. 1920x1080 landscape."
vision-2040.png,16:9,1920x1080,"Elevated photograph of modern Muscat urban development — new glass and concrete commercial district (like Muscat Hills or Al Irfan) at golden hour. Clean modern architecture with geometric facades, wide boulevards, and landscaped medians. The mountains of Al Hajar visible in the background, hazy. A few date palms in frame. Warm golden light casting long shadows. Desaturated color grading — muted, not vivid. Architectural photography style, sharp, wide angle. No futuristic renders, no CGI, no text. Real contemporary Oman as it exists today. 1920x1080 landscape."
Contact-CTA.png,16:9,1920x1080,"Sultan Qaboos Grand Mosque in Muscat photographed at dusk from a distance — showing the full structure with its main dome and minarets against a deep twilight sky. Warm amber light illuminating the marble facade from ground-level lighting. The foreground is a calm reflecting pool or marble courtyard. Very few or no people visible. Color grading: deep navy sky, warm amber/sand on the building, desaturated everything else. Editorial architectural photography. No HDR look, no over-processing. Quiet, contemplative, elegant. 1920x1080 landscape."
services-hero.png,16:9,2560x1440,"Abstract overhead photograph of a modern workspace in a dark environment — a single laptop on a minimal dark desk, screen emitting a subtle warm glow. Perhaps a hand resting near the trackpad. Scattered minimal objects: a notebook, a pen. Deep shadows, the only light comes from the screen and perhaps a small warm desk lamp just out of frame. Dark, moody, intimate. Color grading: near-black environment, warm amber screen glow reflected on surfaces. Shot from above at 45 degrees. Editorial, almost noir. No text on screen, keep it abstract. 2560x1440 landscape."
contact-hero-bg.png,16:9,2560x1440,"Nighttime photograph of a modern glass office building in Muscat — shot from street level looking up. The building facade reflects dark sky and ambient city light. Interior floors visible through glass with warm ambient lighting. Clean geometric lines of the architecture. A few floors lit warmly, others dark. Desaturated, cool shadows with warm interior light contrast. Minimal street-level elements. Architectural photography, sharp, precise. No text, no people. Contemporary Oman commercial architecture. 2560x1440 landscape."
service-build.png,3:2,1200x800,"Minimal close-up photograph of hands typing on a modern laptop keyboard — shot from the side angle, shallow depth of field. Dark environment, the only illumination is the warm glow from the laptop screen casting light on the fingers and keyboard. Dark desk surface visible. No screen content visible (blurred or cropped out). Moody, focused, intimate. Color grading: dark with warm amber highlights from screen light. Professional editorial photography. No text, no icons, no graphics. 1200x800 landscape."
service-ai.png,3:2,1200x800,"Abstract macro photograph of a silicon wafer or printed circuit board — extreme close-up showing the intricate geometric patterns of microchip traces and transistor grids. Shot with dramatic side lighting creating depth and shadow in the etched patterns. Warm amber light reflecting off the metallic traces against the dark silicon substrate. Shallow depth of field, some areas tack-sharp, edges falling into soft blur. Color grading: near-black base, warm gold/amber reflections on the circuit traces. Abstract art from semiconductor photography. No text, no glowing effects, no holographic brain. 1200x800 landscape."
service-grow.png,3:2,1200x800,"Overhead flat-lay photograph of a minimal dark desk with analytics printed on paper — clean charts and graphs on crisp white paper against a near-black desk surface. A sleek pen beside the papers. Perhaps the corner of a tablet or phone showing a minimal dashboard. Very orderly, very clean. The paper creates high contrast against the dark surface. Color grading: desaturated, the white paper is the brightest element, everything else is dark. Subtle warm ambient lighting from one direction creating soft shadows. Editorial, minimal, professional. No social media icons, no floating elements, no digital effects. 1200x800 landscape."
service-localize.png,3:2,1200x800,"Artistic photograph of Arabic calligraphy being written — a close-up of a hand holding a traditional reed pen (qalam) writing elegant Naskh or Thuluth script on cream/off-white paper. Dark background, warm directional lighting illuminating the paper and hand. The ink is dark, the paper warm-toned. Shallow depth of field — the tip of the pen and fresh ink are sharp, the rest falls soft. Color grading: warm, intimate, dark surroundings with warm amber light on the paper. Traditional craftsmanship meeting editorial photography. No geometric patterns, no digital effects, no text labels. 1200x800 landscape."
